ID,Reward,End
day1,CHIP:1000000,
day2,CHIP:1500000,
day3,CHIP:2000000,
day4,CHIP:2500000,
day5,PICK:AVATAR_3_DAY1,
day6,CHIP:3000000,
day7,CHIP:3500000,
day8,CHIP:4000000,
day9,CHIP:4500000,
day10,PICK:AVATAR_4_DAY1,
day11,CHIP:5000000,
day12,CHIP:5500000,
day13,CHIP:6000000,
day14,CHIP:6500000,
day15,PICK:AVATAR_5_DAY1,
day16,CHIP:7000000,
day17,CHIP:7500000,
day18,CHIP:8000000,
day19,CHIP:8500000,
day20,PICK:AVATAR_6_DAY1,
day21,CHIP:9000000,
day22,CHIP:9500000,
day23,CHIP:10000000,
day24,CHIP:10500000,
day25,PICK:AVATAR_4_DAY3,
day26,CHIP:11000000,
day27,CHIP:11500000,
day28,CHIP:12000000,
day29,CHIP:12500000,
day30,PICK:AVATAR_6_DAY3,
