DEFAULT_TYPE,VALUE,EXPLAIN,End
BaselineConfig_InitialChip,20000000,계정 생성 시 기본 소지 칩 2000만,
BaselineConfig_InitialCoin,100,계정 생성 시 기본 소지 코인 100,
BaselineConfig_ChipWalletLimit,600000000000,일반_소지 칩 최대 6000억,
BaselineConfig_ChipVaultLimit,2000000000,일반_금고 칩 최대 20억,
BaselineConfig_CoinWalletLimit,2000000,일반_소지 코인 최대 200만,
BaselineConfig_CoinVaultLimit,2000000,일반_금고 코인 최대 200만,
BaselineConfig_ChipBetLimit,100000000000,1판당 최대 베팅가능 칩 700억,
BaselineConfig_SocialChipBetLimit,5000000000,친구대전 최대 베팅가능 칩 35억,
BaselineConfig_RakebackDefaultRate,10,일반_포인트카드 코인 적립비율(%) 0.01%,
BaselineConfig_ChipRefillThreshold,100000,칩 리필 기준,
BaselineConfig_ChipRefillNormalAmount,2000000,일반_리필 칩 200만,
BaselineConfig_ChipRefillStandardAmount,10000000,스탠다드멤버십_리필 칩 1000만,
BaselineConfig_ChipRefillPremiumAmount,20000000,프리미엄멤버십_리필 칩 2000만,
BaselineConfig_ChipRefillDailyCount,10,1일 칩 리필 가능횟수,
BaselineConfig_CoinRefillThreshold,100,코인 리필 기준,
BaselineConfig_CoinRefillAmount,100000,리필 코인 10만,
BaselineConfig_CoinRefillDailyCount,5,1일 코인 리필 가능횟수,
BaselineConfig_AliasMinLength,2,닉네임 최소길이,
BaselineConfig_AliasMaxLength,8,닉네임 최대길이,
BaselineConfig_MonthlyPurchaseLimit,1000000,월 결제 한도금액(현금) 100만원,
BaselineConfig_ClassDurationSeconds,2592000,멤버십 적용 시간(30일 초환산),
BaselineConfig_ClassRenewalDay,5,멤버십 갱신 가능 기간 (만료 5일전),
BaselineConfig_LostLimitValue,100000000000/500000000000/1000000000000,손실한도 리스트,
BaselineConfig_LostLimitTime,6/12/24,손실한도 타임 리스트,
