Channel_ID,GameType,ChannelType,MoneyType,BetButtonList,SeedMoney,MinMoney,MaxMoney,MoneyKick,Fee,LimitBetMoney,Default_RoomCount,BetList,Player_Banker_Max,Tie_Pair_Max,PP_Max
Holdem_Chip_10K,PlayCategory_TexasHoldem,Normal,Chip,105/106/101/107/104/203/108/204,10000,400000,100000000,150000,5,100000000000,0,0,0,0,0
Holdem_Chip_50K,PlayCategory_TexasHoldem,Normal,Chip,105/106/101/107/104/203/108/204,50000,20000000,1000000000,750000,5,100000000000,0,0,0,0,0
Holdem_Chip_500K,PlayCategory_TexasHoldem,Normal,Chip,105/106/101/107/104/203/108/204,500000,100000000,50000000000,7500000,5,100000000000,0,0,0,0,0
Holdem_Chip_5M,PlayCategory_TexasHoldem,Normal,Chip,105/106/101/107/104/203/108/204,5000000,500000000,0,75000000,5,100000000000,0,0,0,0,0
Holdem_Chip_100M,PlayCategory_TexasHoldem,Normal,Chip,105/106/101/107/104/203/108/204,100000000,5000000000,0,1500000000,5,100000000000,0,0,0,0,0
Holdem_Chip_1B,PlayCategory_TexasHoldem,Normal,Chip,105/106/101/107/104/203/108/204,500000000,20000000000,0,15000000000,5,100000000000,0,0,0,0,0
Holdem_Coin_10,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,10,100,0,90,9,150000000,0,0,0,0,0
Holdem_Coin_500,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,500,5000,0,4500,9,150000000,0,0,0,0,0
Holdem_Coin_1K,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,1000,10000,0,9000,9,150000000,0,0,0,0,0
Holdem_Coin_3K,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,3000,30000,0,27000,9,150000000,0,0,0,0,0
Holdem_Coin_5K,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,5000,50000,0,45000,9,150000000,0,0,0,0,0
Holdem_Coin_10K,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,10000,100000,0,90000,9,150000000,0,0,0,0,0
Holdem_Coin_30K,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,30000,300000,0,270000,9,150000000,0,0,0,0,0
Holdem_Coin_50K,PlayCategory_TexasHoldem,Lounge,Coin,105/106/101/107/104/203/108/204,50000,500000,0,450000,9,150000000,0,0,0,0,0
