ID,PRICE,ITEMID,ACTIVATE,REWARD,End
ITEM_MEMBER_STANDARD,GEM:130,,1,MEMBERSHIP:STANDARD/PERIODSEC:2592000,
ITEM_MEMBER_PREMIUM,GEM:240,,1,MEMBERSHIP:PREMIUM/PERIODSEC:2592000,
ITEM_KICKOUTTICKET_5,GEM:20,,1,KICKOUTTICKET:5,
ITEM_KICKOUTTICKET_10,GEM:40,,1,KICKOUTTICKET:10,
ITEM_KICKOUTTICKET_20,GEM:80,,1,KICKOUTTICKET:20,
ITEM_KICKOUTTICKET_40,GEM:160,,1,KICKOUTTICKET:40,
ITEM_AVATAR_1_3D,GEM:50,3,1,PICK:AVATAR_1_DAY3/CHIP:5000000000,
ITEM_AVATAR_1_7D,GEM:250,3,1,PICK:AVATAR_1_DAY7/CHIP:25000000000,
ITEM_AVATAR_1_15D,GEM:500,3,1,PICK:AVATAR_1_DAY15/CHIP:51500000000,
ITEM_AVATAR_1_30D,GEM:1000,3,1,PICK:AVATAR_1_DAY30/CHIP:106000000000,
ITEM_AVATAR_2_3D,GEM:50,4,1,PICK:AVATAR_2_DAY3/CHIP:5000000000,
ITEM_AVATAR_2_7D,GEM:250,4,1,PICK:AVATAR_2_DAY7/CHIP:25000000000,
ITEM_AVATAR_2_15D,GEM:500,4,1,PICK:AVATAR_2_DAY15/CHIP:51500000000,
ITEM_AVATAR_2_30D,GEM:1000,4,1,PICK:AVATAR_2_DAY30/CHIP:106000000000,
ITEM_AVATAR_3_3D,GEM:50,5,1,PICK:AVATAR_3_DAY3/CHIP:5000000000,
ITEM_AVATAR_3_7D,GEM:250,5,1,PICK:AVATAR_3_DAY7/CHIP:25000000000,
ITEM_AVATAR_3_15D,GEM:500,5,1,PICK:AVATAR_3_DAY15/CHIP:51500000000,
ITEM_AVATAR_3_30D,GEM:1000,5,1,PICK:AVATAR_3_DAY30/CHIP:106000000000,
ITEM_AVATAR_4_3D,GEM:50,6,1,PICK:AVATAR_4_DAY3/CHIP:5000000000,
ITEM_AVATAR_4_7D,GEM:250,6,1,PICK:AVATAR_4_DAY7/CHIP:25000000000,
ITEM_AVATAR_4_15D,GEM:500,6,1,PICK:AVATAR_4_DAY15/CHIP:51500000000,
ITEM_AVATAR_4_30D,GEM:1000,6,1,PICK:AVATAR_4_DAY30/CHIP:106000000000,
ITEM_AVATAR_5_3D,GEM:50,7,1,PICK:AVATAR_5_DAY3/CHIP:5000000000,
ITEM_AVATAR_5_7D,GEM:250,7,1,PICK:AVATAR_5_DAY7/CHIP:25000000000,
ITEM_AVATAR_5_15D,GEM:500,7,1,PICK:AVATAR_5_DAY15/CHIP:51500000000,
ITEM_AVATAR_5_30D,GEM:1000,7,1,PICK:AVATAR_5_DAY30/CHIP:106000000000,
