ID,Level,EXP,Reward_Chip,End
EXPLEVEL_1,1,5,0,
EXPLEVEL_2,2,14,5000000,
EXPLEVEL_3,3,26,5300000,
EXPLEVEL_4,4,41,5600000,
EXPLEVEL_5,5,68,10000000,
EXPLEVEL_6,6,99,5900000,
EXPLEVEL_7,7,134,6200000,
EXPLEVEL_8,8,173,7500000,
EXPLEVEL_9,9,216,8800000,
EXPLEVEL_10,10,263,15000000,
EXPLEVEL_11,11,344,9100000,
EXPLEVEL_12,12,442,9400000,
EXPLEVEL_13,13,557,9700000,
EXPLEVEL_14,14,689,10000000,
EXPLEVEL_15,15,838,20000000,
EXPLEVEL_16,16,1094,13000000,
EXPLEVEL_17,17,1377,16000000,
EXPLEVEL_18,18,1687,19000000,
EXPLEVEL_19,19,2024,22000000,
EXPLEVEL_20,20,2413,30000000,
EXPLEVEL_21,21,3254,25000000,
EXPLEVEL_22,22,4197,28000000,
EXPLEVEL_23,23,5242,31000000,
EXPLEVEL_24,24,6389,34000000,
EXPLEVEL_25,25,7638,45000000,
EXPLEVEL_26,26,8989,37000000,
EXPLEVEL_27,27,10442,40000000,
EXPLEVEL_28,28,11997,43000000,
EXPLEVEL_29,29,13654,47000000,
EXPLEVEL_30,30,15413,100000000,
EXPLEVEL_31,31,17274,50000000,
EXPLEVEL_32,32,19237,53000000,
EXPLEVEL_33,33,21302,56000000,
EXPLEVEL_34,34,23469,59000000,
EXPLEVEL_35,35,25738,150000000,
EXPLEVEL_36,36,28109,62000000,
EXPLEVEL_37,37,30582,65000000,
EXPLEVEL_38,38,33157,68000000,
EXPLEVEL_39,39,35834,71000000,
EXPLEVEL_40,40,38613,200000000,
EXPLEVEL_41,41,41494,74000000,
EXPLEVEL_42,42,44477,77000000,
EXPLEVEL_43,43,47562,80000000,
EXPLEVEL_44,44,50749,83000000,
EXPLEVEL_45,45,54038,250000000,
EXPLEVEL_46,46,57429,86000000,
EXPLEVEL_47,47,60922,89000000,
EXPLEVEL_48,48,64517,92000000,
EXPLEVEL_49,49,68214,95000000,
EXPLEVEL_50,50,72013,500000000,
