AchieveType,QuestID,AchieveEventType,GoalCount,RewardType,RewardItemCount
Mission,1005,HoldemPlay,10,Chip,1000000
Mission,1006,HoldemPlay,30,Chip,3000000
Mission,1007,HoldemJokboFlush,1,Chip,2000000
Mission,1008,HoldemJokboFlush,3,Chip,6000000
LoungeMission,2005,HoldemPlay,5,Coin,10
Achievement,3100,HoldemPlay,100,Chip,5000000
Achievement,3101,HoldemPlay,500,Chip,10000000
Achievement,3102,HoldemPlay,1000,Chip,15000000
Achievement,3103,HoldemPlay,2000,Chip,20000000
Achievement,3104,HoldemPlay,3000,Chip,25000000
Achievement,3105,HoldemPlay,5000,Chip,50000000
Achievement,3110,HoldemWinCount,30,Chip,10000000
Achievement,3111,HoldemWinCount,70,Chip,20000000
Achievement,3112,HoldemWinCount,150,Chip,30000000
Achievement,3113,HoldemWinCount,300,Chip,40000000
Achievement,3114,HoldemWinCount,1500,Chip,70000000
Achievement,3115,HoldemWinCount,5000,Chip,100000000
Achievement,3120,HoldemJokboFlush,10,Chip,5000000
Achievement,3121,HoldemJokboFlush,50,Chip,10000000
Achievement,3122,HoldemJokboFlush,100,Chip,15000000
Achievement,3123,HoldemJokboFlush,500,Chip,20000000
Achievement,3124,HoldemJokboFlush,1000,Chip,25000000
Achievement,3125,HoldemJokboFlush,3000,Chip,50000000
Achievement,3130,HoldemEnemyAllin,5,Chip,10000000
Achievement,3131,HoldemEnemyAllin,25,Chip,20000000
Achievement,3132,HoldemEnemyAllin,50,Chip,30000000
Achievement,3133,HoldemEnemyAllin,250,Chip,40000000
Achievement,3134,HoldemEnemyAllin,500,Chip,50000000
Achievement,3135,HoldemEnemyAllin,1500,Chip,70000000
Achievement,3800,AdWatchCount,10,Chip,5000000
Achievement,3801,AdWatchCount,50,Chip,10000000
Achievement,3802,AdWatchCount,100,Chip,15000000
Achievement,3803,AdWatchCount,500,Chip,20000000
Achievement,3804,AdWatchCount,1000,Chip,25000000
Achievement,3805,AdWatchCount,3000,Chip,35000000
Achievement,3900,FriendRequest,5,Chip,5000000
Achievement,3901,FriendRequest,10,Chip,10000000
Achievement,3902,FriendRequest,20,Chip,20000000
